#               x              rho              vx               vy               vx               pre               Bx              By                Bz
  -0.15551810E+00   0.93900330E+00   0.10591520E+00  -0.35010460E-01   0.00000000E+00   0.90042000E+00   0.92387400E+00   0.92387400E+00   0.00000000E+00
  -0.15541800E+00   0.93860280E+00   0.10662380E+00  -0.35252570E-01   0.00000000E+00   0.89977990E+00   0.92337060E+00   0.92337060E+00   0.00000000E+00
  -0.15531780E+00   0.93820240E+00   0.10733230E+00  -0.35494750E-01   0.00000000E+00   0.89914040E+00   0.92286740E+00   0.92286740E+00   0.00000000E+00
  -0.15521770E+00   0.93780220E+00   0.10804060E+00  -0.35736990E-01   0.00000000E+00   0.89850130E+00   0.92236440E+00   0.92236440E+00   0.00000000E+00
  -0.15511760E+00   0.93740220E+00   0.10874890E+00  -0.35979300E-01   0.00000000E+00   0.89786260E+00   0.92186150E+00   0.92186150E+00   0.00000000E+00
  -0.15501750E+00   0.93700240E+00   0.10945700E+00  -0.36221680E-01   0.00000000E+00   0.89722440E+00   0.92135880E+00   0.92135880E+00   0.00000000E+00
  -0.15491740E+00   0.93660270E+00   0.11016500E+00  -0.36464120E-01   0.00000000E+00   0.89658670E+00   0.92085630E+00   0.92085630E+00   0.00000000E+00
  -0.15481730E+00   0.93620320E+00   0.11087280E+00  -0.36706630E-01   0.00000000E+00   0.89594940E+00   0.92035390E+00   0.92035390E+00   0.00000000E+00
  -0.15471730E+00   0.93580390E+00   0.11158060E+00  -0.36949210E-01   0.00000000E+00   0.89531260E+00   0.91985170E+00   0.91985170E+00   0.00000000E+00
  -0.15461730E+00   0.93540470E+00   0.11228820E+00  -0.37191850E-01   0.00000000E+00   0.89467620E+00   0.91934960E+00   0.91934960E+00   0.00000000E+00
  -0.15451730E+00   0.93500580E+00   0.11299560E+00  -0.37434560E-01   0.00000000E+00   0.89404030E+00   0.91884780E+00   0.91884780E+00   0.00000000E+00
  -0.15441730E+00   0.93460690E+00   0.11370300E+00  -0.37677340E-01   0.00000000E+00   0.89340480E+00   0.91834600E+00   0.91834600E+00   0.00000000E+00
  -0.15431730E+00   0.93420830E+00   0.11441020E+00  -0.37920180E-01   0.00000000E+00   0.89276980E+00   0.91784450E+00   0.91784450E+00   0.00000000E+00
  -0.15421730E+00   0.93380980E+00   0.11511730E+00  -0.38163100E-01   0.00000000E+00   0.89213520E+00   0.91734310E+00   0.91734310E+00   0.00000000E+00
